         267209 function calls (225361 primitive calls) in 7.221 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      117    0.000    0.000    0.000    0.000 re.py:138(match)
       12    0.000    0.000    0.012    0.001 re.py:192(compile)
      129    0.000    0.000    0.012    0.000 re.py:230(_compile)
        1    0.000    0.000    0.000    0.000 site.py:353(__call__)
        1    0.000    0.000    0.000    0.000 socket.py:171(_closedsocket)
        1    0.000    0.000    0.000    0.000 socket.py:183(_socketobject)
        1    0.000    0.000    0.000    0.000 socket.py:239(_fileobject)
        1    0.022    0.022    0.022    0.022 socket.py:45(<module>)
        4    0.000    0.000    0.000    0.000 sre_compile.py:101(fixup)
      131    0.000    0.000    0.001    0.000 sre_compile.py:228(_compile_charset)
      131    0.001    0.000    0.001    0.000 sre_compile.py:256(_optimize_charset)
       28    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      140    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
       13    0.000    0.000    0.001    0.000 sre_compile.py:433(_compile_info)
       26    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       13    0.000    0.000    0.005    0.000 sre_compile.py:552(_code)
       13    0.000    0.000    0.012    0.001 sre_compile.py:567(compile)
   322/13    0.002    0.000    0.004    0.000 sre_compile.py:64(_compile)
      664    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
     1407    0.001    0.000    0.001    0.000 sre_parse.py:141(__getitem__)
      140    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
      404    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
  455/153    0.001    0.000    0.001    0.000 sre_parse.py:151(getwidth)
       13    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
     1837    0.001    0.000    0.002    0.000 sre_parse.py:193(__next)
      915    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
     1582    0.001    0.000    0.002    0.000 sre_parse.py:212(get)
       82    0.000    0.000    0.000    0.000 sre_parse.py:221(isident)
       14    0.000    0.000    0.000    0.000 sre_parse.py:227(isname)
       38    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
       81    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
    86/13    0.000    0.000    0.007    0.001 sre_parse.py:317(_parse_sub)
   149/13    0.002    0.000    0.007    0.001 sre_parse.py:395(_parse)
       13    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       13    0.000    0.000    0.007    0.001 sre_parse.py:706(parse)
       56    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       56    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
      322    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 subprocess.py:293(Popen)
        1    0.005    0.005    0.008    0.008 subprocess.py:31(<module>)
        1    0.000    0.000    0.000    0.000 subprocess.py:44(CalledProcessError)
        1    0.003    0.003    7.221    7.221 test.py:1(<module>)
      100    0.002    0.000    7.081    0.071 test.py:134(draw_tree)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1049(_Timer)
        1    0.000    0.000    0.000    0.000 threading.py:1079(_MainThread)
        1    0.000    0.000    0.000    0.000 threading.py:1081(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1088(_set_daemon)
        1    0.000    0.000    0.000    0.000 threading.py:1119(_DummyThread)
        2    0.000    0.000    0.000    0.000 threading.py:114(RLock)
        1    0.000    0.000    0.000    0.000 threading.py:125(_RLock)
        2    0.000    0.000    0.000    0.000 threading.py:132(__init__)
        3    0.000    0.000    0.000    0.000 threading.py:147(acquire)
        3    0.000    0.000    0.000    0.000 threading.py:187(release)
        2    0.000    0.000    0.000    0.000 threading.py:242(Condition)
        1    0.000    0.000    0.000    0.000 threading.py:255(_Condition)
        2    0.000    0.000    0.000    0.000 threading.py:260(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:285(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:288(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:300(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:373(notify)
        1    0.000    0.000    0.000    0.000 threading.py:400(notifyAll)
        1    0.000    0.000    0.000    0.000 threading.py:423(_Semaphore)
        1    0.000    0.000    0.000    0.000 threading.py:515(_BoundedSemaphore)
        1    0.000    0.000    0.000    0.000 threading.py:542(Event)
        1    0.000    0.000    0.000    0.000 threading.py:552(_Event)
        1    0.000    0.000    0.000    0.000 threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:57(_Verbose)
        1    0.000    0.000    0.000    0.000 threading.py:576(set)
        6    0.000    0.000    0.000    0.000 threading.py:59(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:631(Thread)
        7    0.000    0.000    0.000    0.000 threading.py:64(_note)
        1    0.000    0.000    0.000    0.000 threading.py:647(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:780(_set_ident)
        1    0.000    0.000    0.000    0.000 token.py:1(<module>)
